taxon,state
Ampulicidae,2
Andrenidae,1
Apidae,1
Argidae,0
Aulacidae,2
Bembicidae,2
Bethylidae,2
Braconidae,2
Bradynobaenidae,?
Cephidae,0
Ceraphronidae,2
Chalcidoidea,1&2
Chrysididae,2
Chyphotidae,2
Colletidae,1
Crabronidae,2
Cynipidae_ss,1
Diapriidae_sl,2
Diplolepidini,1
Dryinidae,2
Embolemidae,2
Eschatocerini,1
Evaniidae,2
Figitidae_sl,2
Formicidae,1&2
Gasteruptiidae,2
Halictidae,1
Heloridae,2
Heterogynaidae,?
Ichneumonidae,2
Megachilidae,1
Megalyridae,2
Megaspilidae,2
Melittidae,1
Monomachidae,2
Mutillidae,2
Mymarommatidae,?
Myrmosidae,2
Orussidae,2
Pamphiliidae,0
Paralaucini,2
Pediaspidini,1
Pelecinidae,2
Pemphredonidae,2
Pergidae,0
Philanthidae,2
Platygastridae_sl,2
Plumariidae,?
Pompilidae,2
Proctotrupidae,2
Rhopalosomatidae,2
Roproniidae,2
Sapygidae,2
Sclerogibbidae,2
Scoliidae,2
Sierolomorphidae,2
Siricidae,0
Sphecidae,2
Stenotritidae,1
Stephanidae,2
Tenthredinidae_sl,0
Thynnidae,2
Tiphiidae,2
Trigonalidae,2
Vanhorniidae,2
Vespidae,1&2
Xiphydriidae,0
Xyelidae,0